observation_date,CARGSP
1997-01-01,1441226.4
1998-01-01,1538612.3
1999-01-01,1655438.5
2000-01-01,1784320.6
2001-01-01,1784567.7
2002-01-01,1821509.5
2003-01-01,1895287.6
2004-01-01,1956745.5
2005-01-01,2042141.0
2006-01-01,2120435.4
2007-01-01,2168940.4
2008-01-01,2192331.8
2009-01-01,2110679.4
2010-01-01,2153852.8
2011-01-01,2192887.2
2012-01-01,2255437.3
2013-01-01,2340335.3
2014-01-01,2428675.7
2015-01-01,2545979.5
2016-01-01,2623711.7
2017-01-01,2740550.3
2018-01-01,2850970.3
2019-01-01,2969609.0
2020-01-01,2933320.2
2021-01-01,3154188.6
2022-01-01,3184007.8
2023-01-01,3248656.6
2024-01-01,3365083.3
